"","X..Time..s.","Altitude..km.","Vertical.velocity..m.s.","Vertical.acceleration..m.s..","Total.velocity..m.s.","Total.acceleration..m.s..","Position.East.of.launch..km.","Position.North.of.launch..km.","Lateral.distance..km.","Lateral.direction....","Lateral.velocity..m.s.","Lateral.acceleration..m.s..","Latitude....","Longitude....","Gravitational.acceleration..m.s..","Angle.of.attack....","Roll.rate..r.s.","Pitch.rate..r.s.","Yaw.rate..r.s.","Mass..kg.","Propellant.mass..kg.","Longitudinal.moment.of.inertia..kg.m..","Rotational.moment.of.inertia..kg.m..","CP.location..in.","CG.location..in.","Stability.margin.calibers....","Mach.number....","Reynolds.number....","Thrust..N.","Drag.force..N.","Drag.coefficient....","Axial.drag.coefficient....","Friction.drag.coefficient....","Pressure.drag.coefficient....","Base.drag.coefficient....","Normal.force.coefficient....","Pitch.moment.coefficient....","Yaw.moment.coefficient....","Side.force.coefficient....","Roll.moment.coefficient....","Roll.forcing.coefficient....","Roll.damping.coefficient....","Pitch.damping.coefficient....","Coriolis.acceleration..m.s..","Reference.length..in.","Reference.area..m..","Vertical.orientation..zenith.....","Lateral.orientation..azimuth.....","Wind.velocity..m.s.","Air.temperature...C.","Air.pressure..Pa.","Speed.of.sound..m.s.","Simulation.time.step..s.","Computation.time..s.","colors","test.number"
"1",0,0,0,-6.8545,0,6.8545,0,0,0,0,0,0,43.4,-120.4,9.8005,90,0,0,0,33.604,11.271,31.898,0.063769,NA,84.592,NA,0.013749,928651,98.995,0,0.51355,0,0.3851,0.0084236,0.12002,NA,NA,NA,NA,NA,NA,NA,NA,0,6.6,0.022072,90,0,NA,6.03,85832,334.95,0.002,0.0039094,2,1
"141",0.28,0.0040464,31.603,123.59,31.603,123.59,0,0,0,0,0,0.66656,43.4,-120.4,9.8005,8.2524,0,0,0,32.995,10.662,31.608,0.063038,88.868,84.167,0.71234,0.095341,6437409,4406.6,5.5352,0.40178,0.45941,0.27191,0.0086808,0.12118,1.8162,1.2942,0.00038243,0,0,0,0,0,0.0033488,6.6,0.022072,90,0,NA,6.0037,85789,334.94,0.003,0.15399,4,2
"174",0.59425,0.02011,70.782,126.2,70.782,126.2,-3.4086e-05,0,3.4086e-05,-180,0.18792,0.14251,43.4,-120.4,9.8004,3.2509,0,0.0085051,-1.8727e-07,32.261,9.9284,31.247,0.062157,92.64,83.634,1.3646,0.2118,14279040,4411.2,23.679,0.38789,0.39903,0.25232,0.0097377,0.12583,0.59258,0.80539,0.00039584,0,0,0,0,0.0035431,0.0075005,6.6,0.022072,89.598,0.0015477,NA,5.8993,85619,334.87,0.01,0.20598,4,3
"244",1.2943,0.10113,161.51,133.16,161.56,133.73,0.00068931,3.0081e-08,0.00068931,0.0025003,3.9121,12.405,43.4,-120.4,9.8002,1.0974,0,-0.003268,-9.3394e-07,30.578,8.245,30.372,0.060137,95.051,82.314,1.9299,0.48349,32346370,4514.6,127.19,0.41401,0.41549,0.24754,0.016083,0.15039,0.18368,0.35476,-0.00033499,0,0,0,0,-0.00010057,0.017124,6.6,0.022072,85.768,-0.00068207,NA,5.3726,84757,334.55,0.01,0.26489,4,4
"367",2.5242,0.40314,330.08,134.29,330.41,134.78,0.012455,6.8687e-07,0.012455,0.0031597,14.741,11.522,43.4,-120.4,9.7993,0.29786,0,-0.011507,-6.0146e-06,27.552,5.2191,28.597,0.056504,97.849,79.535,2.7748,0.99187,64540000,4645.7,663.57,0.5343,0.53445,0.22154,0.064867,0.24789,0.050416,0.14036,4.672e-06,0,0,0,0,-0.00029843,0.035043,6.6,0.022072,86.315,0.0069912,NA,3.4096,81690,333.37,0.01,0.3703,4,5
"468",3.5342,0.80294,458.66,117.14,459.24,117.45,0.0318,3.4528e-06,0.0318,0.0062211,23.009,8.4971,43.4,-120.4,9.798,0.058605,0,-0.0096561,-7.2492e-06,25.12,2.787,26.928,0.053584,100.44,76.817,3.5794,1.3847,86787627,4282.2,1086.4,0.47177,0.47178,0.18842,0.10281,0.18054,0.010599,0.038256,-0.00045685,0,0,0,0,-0.00010884,0.048717,6.6,0.022072,86.586,0.0098746,NA,0.81086,77734,331.79,0.01,0.46916,4,6
"586",4.7142,1.4041,541.01,21.454,541.76,21.545,0.063027,1.1206e-05,0.063027,0.010187,28.646,1.9764,43.4,-120.4,9.7962,0.0064587,0,-0.0034405,-0.00019125,23.134,0.80143,25.354,0.0512,96.783,74.174,3.4255,1.6453,97406340,2011.1,1286.6,0.42677,0.42677,0.17042,0.1044,0.15195,0.0009741,0.0033248,0.00013258,0,0,0,0,-9.9283e-06,0.057479,6.6,0.022072,86.509,0.0216,NA,-3.0965,72084,329.42,0.01,0.57557,4,7
"747",6.3242,2.26,503.29,-57.135,504.03,57.194,0.10898,2.9391e-05,0.10898,0.015453,27.188,2.5901,43.4,-120.4,9.7936,0.026729,0,-0.0018815,1.6037e-05,22.333,0.00025765,24.652,0.050239,98.544,72.975,3.8742,1.5467,84300000,0,1058.7,0.44326,0.44326,0.17717,0.10445,0.16164,0.004372,0.016912,0.00019297,0,0,0,0,-3.43e-06,0.053478,6.6,0.022072,86.367,0.019815,NA,-8.6602,64609,326.05,0.01,0.75221,6,8
"908",7.9342,3.0027,422.97,-43.5,423.59,43.57,0.14923,5.1563e-05,0.14923,0.019797,22.986,2.4781,43.4,-120.4,9.7913,0.02106,0,0.00064484,-7.1739e-06,22.333,0,24.652,0.050238,100.42,72.974,4.1582,1.3117,66454699,0,754.68,0.48379,0.48379,0.19352,0.099676,0.19059,0.0038078,0.015356,-0.00043165,0,0,0,0,5.7033e-07,0.044943,6.6,0.022072,86.322,0.034607,NA,-13.488,58646,323.13,0.01,0.87661,6,9
"1532",14.174,5.0013,243.26,-18.532,243.68,18.553,0.26109,0.00016138,0.26109,0.035414,14.355,0.88272,43.4,-120.4,9.7851,0.050837,0,0.0074682,-1.9471e-05,22.333,0,24.652,0.050238,97.099,72.974,3.6552,0.77416,32001715,0,196.21,0.47194,0.47195,0.23827,0.035762,0.19791,0.0082794,0.029784,-0.00047765,0,0,0,0,0.00023072,0.02586,6.6,0.022072,85.408,0.059436,NA,-26.478,44782,315.25,0.01,1.4328,6,10
"2874",27.594,7,71.067,-10.261,71.771,10.265,0.41721,0.00049705,0.41721,0.06826,10.031,0.27532,43.4,-120.39,9.779,0.80677,0,0.0058964,-9.9794e-06,22.333,0,24.652,0.050238,95.149,72.974,3.3598,0.23606,7876355,0,11.684,0.39947,0.40026,0.26216,0.010067,0.12724,0.13194,0.44176,-8.8106e-05,0,0,0,0,0.001627,0.0076684,6.6,0.022072,79.158,0.12548,NA,-39.47,33699,307.38,0.01,2.1751,6,11
"3584",34.694,7.252,0.79415,-9.3924,9.0172,9.3967,0.48529,0.00072777,0.48529,0.085924,8.9821,0.2843,43.4,-120.39,9.7782,30.018,0,0.044098,1.1156e-05,22.333,0,24.652,0.050238,81.905,72.974,1.3532,0.046533,1510000,0,0.5799,0.47894,0.53018,0.35018,0.0084805,0.12028,9.7852,4.0531,-0.00029512,0,0,0,0,2.3572,0.0013124,6.6,0.022072,33.211,0.12893,NA,-41.108,32477,306.39,0.01,2.6039,6,12
